math.ArrayLongIntList,A,B,C,D,E,F,G,H,I
Initialization,0.005636,0.0025150000000000003,9.0E-5,9.5E-5,2.77E-4,1.54E-4,3.11E-4,5.28E-4,0.001183
Traversal,4.42E-4,1.2100000000000001E-4,1.6600000000000002E-4,1.9800000000000002E-4,2.45E-4,1.15E-4,4.27E-4,4.2300000000000004E-4,7.610000000000001E-4
output(),3.53E-4,4.8E-5,1.09E-4,1.3800000000000002E-4,3.7000000000000005E-4,9.5E-5,3.01E-4,3.15E-4,0.001324
getSign(),1.71E-4,5.7E-5,7.500000000000001E-5,6.3E-5,4.2000000000000004E-5,4.9000000000000005E-5,1.55E-4,4.0E-5,8.400000000000001E-5
digitCount(),0.001445,1.06E-4,9.0E-5,4.9000000000000005E-5,4.9000000000000005E-5,1.2900000000000002E-4,6.900000000000001E-5,9.800000000000001E-5,1.31E-4
equalTo(),9.7E-5,4.4000000000000006E-5,4.2000000000000004E-5,4.8E-5,4.1E-5,6.8E-5,3.5000000000000004E-5,1.1700000000000001E-4,8.300000000000001E-5
lessThan(),6.900000000000001E-5,4.8E-5,4.3E-5,6.6E-5,3.3E-5,4.7000000000000004E-5,6.400000000000001E-5,6.2E-5,6.6E-5
greaterThan(),8.400000000000001E-5,4.9000000000000005E-5,4.8E-5,4.7000000000000004E-5,5.5E-5,2.3E-5,1.53E-4,1.15E-4,1.3800000000000002E-4
add(),3.2000000000000005E-5,1.0E-5,1.0E-5,1.3000000000000001E-5,3.0E-5,8.000000000000001E-6,1.6000000000000003E-5,1.7E-5,6.7E-5
subtract(),7.000000000000001E-5,2.4E-5,5.5E-5,2.1000000000000002E-5,2.4E-5,2.2000000000000003E-5,3.4E-5,3.4E-5,4.9000000000000005E-5
multiply(),5.3E-5,2.0E-5,4.6E-5,5.0E-5,1.6E-4,2.8000000000000003E-5,2.3400000000000002E-4,1.6900000000000002E-4,6.02E-4
power(5),6.500000000000001E-5,8.2E-5,1.56E-4,1.01E-4,3.28E-4,3.02E-4,3.53E-4,3.79E-4,0.026255
power(10),6.1000000000000005E-5,9.1E-5,1.3800000000000002E-4,2.2700000000000002E-4,8.680000000000001E-4,1.1700000000000001E-4,0.010262,0.01383,0.014812
power(20),9.800000000000001E-5,1.9500000000000002E-4,3.39E-4,6.180000000000001E-4,0.035151,4.6300000000000003E-4,0.018868000000000003,0.004974,0.122296
math.ArrayLongIntList,A,B,C,D,E,F,G,H,I
Initialization,0.006108000000000001,0.0037050000000000004,1.4000000000000001E-4,1.31E-4,0.0010190000000000002,1.61E-4,3.93E-4,5.650000000000001E-4,0.002418
Traversal,2.3400000000000002E-4,1.61E-4,1.23E-4,1.6900000000000002E-4,5.780000000000001E-4,1.16E-4,4.2100000000000004E-4,3.62E-4,8.600000000000001E-4
output(),1.16E-4,8.0E-5,1.06E-4,1.2100000000000001E-4,4.51E-4,1.2100000000000001E-4,2.91E-4,3.11E-4,9.51E-4
getSign(),5.7E-5,4.3E-5,4.9000000000000005E-5,4.1E-5,3.6E-5,4.5E-5,1.46E-4,3.7000000000000005E-5,3.8E-5
digitCount(),0.001677,5.0E-5,7.8E-5,5.6000000000000006E-5,6.2E-5,7.8E-5,7.1E-5,6.7E-5,1.06E-4
equalTo(),1.52E-4,4.3E-5,4.2000000000000004E-5,4.0E-5,7.500000000000001E-5,3.0E-5,7.500000000000001E-5,6.400000000000001E-5,7.000000000000001E-5
lessThan(),9.300000000000001E-5,4.5E-5,7.6E-5,4.4000000000000006E-5,1.14E-4,3.4E-5,1.4000000000000001E-4,5.1000000000000006E-5,6.7E-5
greaterThan(),2.54E-4,4.5E-5,7.2E-5,9.2E-5,3.9000000000000005E-4,3.4E-5,1.62E-4,9.7E-5,1.0200000000000001E-4
add(),5.3E-5,1.1000000000000001E-5,1.4000000000000001E-5,1.4000000000000001E-5,1.3000000000000001E-5,1.1000000000000001E-5,6.500000000000001E-5,1.8E-5,7.500000000000001E-5
subtract(),5.9000000000000004E-5,2.3E-5,3.1E-5,4.8E-5,5.1000000000000006E-5,3.4E-5,6.3E-5,3.7000000000000005E-5,5.4000000000000005E-5
multiply(),5.1000000000000006E-5,1.8E-5,4.5E-5,4.3E-5,9.2E-5,4.0E-5,2.45E-4,1.61E-4,6.31E-4
power(5),5.2000000000000004E-5,6.8E-5,4.7000000000000004E-5,7.500000000000001E-5,2.7600000000000004E-4,2.4400000000000002E-4,5.3E-4,3.15E-4,0.005077
power(10),4.7000000000000004E-5,7.1E-5,8.900000000000001E-5,1.8500000000000002E-4,9.07E-4,4.36E-4,0.0038780000000000004,0.0014290000000000001,0.054227000000000004
power(20),7.400000000000001E-5,1.7800000000000002E-4,2.93E-4,5.21E-4,0.0033020000000000002,7.09E-4,0.015689,0.007592000000000001,0.10998400000000001
math.ArrayLongIntList,A,B,C,D,E,F,G,H,I
Initialization,0.004437,0.0045000000000000005,2.12E-4,2.0700000000000002E-4,3.1E-4,1.9E-4,4.13E-4,3.95E-4,0.001317
Traversal,1.6E-4,1.4900000000000002E-4,9.6E-5,1.36E-4,2.18E-4,1.15E-4,3.3400000000000004E-4,3.9200000000000004E-4,9.42E-4
